0,4
1,13
2,7
3,2
4,18
5,17
6,11
7,23
8,22
9,20
10,2
11,9
12,11
13,19
14,4
15,5
16,6
17,8
18,2
19,0
20,16
21,0
22,25
23,17
24,8
25,1
26,21
27,8
28,24
29,12
30,3
31,23
32,10
33,16
34,10
35,23
36,6
37,19
38,15
39,15
40,16
41,11
42,13
43,1
44,13
45,7
46,10
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,3
55,14
56,25
57,9
58,15
59,14
60,7
61,2
62,11
63,7
64,0
65,6
66,6
67,20
68,12
69,0
70,24
71,22
72,21
73,8
74,21
75,18
76,15
77,17
78,6
79,19

class,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
precision,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.75,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
recall,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.6666666666666666,0.75,1.0,1.0,1.0,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
f1-score,0.888888888888889,1.0,1.0,1.0,1.0,0.6666666666666666,0.888888888888889,0.7499999999999999,0.8571428571428571,0.6666666666666666,0.3333333333333333,1.0,0.8,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8,0.8,1.0,1.0,1.0,0.8,1.0,0.8
accuracy,0.875
f1 macro,0.8701159951159951
f1 weighted average,0.872013888888889

confusion matrix
class,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
A,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
N,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
